icd	description	term_main
C11.9	Malignant neoplasm: Nasopharynx, unspecified	cancer
C12	Malignant neoplasm of piriform sinus	cancer
C13	Malignant neoplasm of hypopharynx	cancer
C13.0	Malignant neoplasm: Postcricoid region	cancer
C13.1	Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect 	cancer
C13.2	Malignant neoplasm: Posterior wall of hypopharynx	cancer
C13.8	Malignant neoplasm: Overlapping lesion of hypopharynx	cancer
C13.9	Malignant neoplasm: Hypopharynx, unspecified	cancer
C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	cancer
C14.0	Malignant neoplasm: Pharynx, unspecified	cancer
C14.2	Malignant neoplasm: Waldeyer ring	cancer
C14.8	Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx	cancer
C15	Malignant neoplasm of oesophagus	cancer
C15.0	Malignant neoplasm: Cervical part of oesophagus	cancer
C15.1	Malignant neoplasm: Thoracic part of oesophagus	cancer
C15.2	Malignant neoplasm: Abdominal part of oesophagus	cancer
C15.3	Malignant neoplasm: Upper third of oesophagus	cancer
C15.4	Malignant neoplasm: Middle third of oesophagus	cancer
C15.5	Malignant neoplasm: Lower third of oesophagus	cancer
C15.8	Malignant neoplasm: Overlapping lesion of oesophagus	cancer
C15.9	Malignant neoplasm: Oesophagus, unspecified	cancer
C16	Malignant neoplasm of stomach	cancer
C16.0	Malignant neoplasm: Cardia	cancer
C16.1	Malignant neoplasm: Fundus of stomach	cancer
C16.2	Malignant neoplasm: Body of stomach	cancer
C16.3	Malignant neoplasm: Pyloric antrum	cancer
C16.4	Malignant neoplasm: Pylorus	cancer
C16.5	Malignant neoplasm: Lesser curvature of stomach, unspecified	cancer
C16.6	Malignant neoplasm: Greater curvature of stomach, unspecified	cancer
C16.8	Malignant neoplasm: Overlapping lesion of stomach	cancer
C16.9	Malignant neoplasm: Stomach, unspecified	cancer
C17	Malignant neoplasm of small intestine	cancer
C17.0	Malignant neoplasm: Duodenum	cancer
C17.1	Malignant neoplasm: Jejunum	cancer
C17.2	Malignant neoplasm: Ileum	cancer
C17.3	Malignant neoplasm: Meckel diverticulum	cancer
C17.8	Malignant neoplasm: Overlapping lesion of small intestine	cancer
C17.9	Malignant neoplasm: Small intestine, unspecified	cancer
C18	Malignant neoplasm of colon	cancer
C18.0	Malignant neoplasm: Caecum	cancer
C18.1	Malignant neoplasm: Appendix	cancer
C18.2	Malignant neoplasm: Ascending colon	cancer
C18.3	Malignant neoplasm: Hepatic flexure	cancer
C18.4	Malignant neoplasm: Transverse colon	cancer
C18.5	Malignant neoplasm: Splenic flexure	cancer
C18.6	Malignant neoplasm: Descending colon	cancer
C18.7	Malignant neoplasm: Sigmoid colon	cancer
C18.8	Malignant neoplasm: Overlapping lesion of colon	cancer
C18.9	Malignant neoplasm: Colon, unspecified	cancer
C19	Malignant neoplasm of rectosigmoid junction	cancer
C20	Malignant neoplasm of rectum	cancer
C21	Malignant neoplasm of anus and anal canal	cancer
C21.0	Malignant neoplasm: Anus, unspecified	cancer
C21.1	Malignant neoplasm: Anal canal	cancer
C21.2	Malignant neoplasm: Cloacogenic zone	cancer
C21.8	Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal	cancer
C22	Malignant neoplasm of liver and intrahepatic bile ducts	cancer
C22.0	Malignant neoplasm: Liver cell carcinoma	cancer
C22.1	Malignant neoplasm: Intraheptic bile duct carcinoma	cancer
C22.2	Malignant neoplasm: Hepatoblastoma	cancer
C22.3	Angiosarcoma of liver	cancer
C22.4	Other sarcomas of liver	cancer
C22.7	Malignant neoplasm: Other specified carcinomas of liver	cancer
C22.9	Malignant neoplasm: Liver, unspecified	cancer
C23	Malignant neoplasm of gallbladder	cancer
C24	Malignant neoplasm of other and unspecified parts of biliary tract	cancer
C24.0	Malignant neoplasm: Extrahepatic bile duct	cancer
C24.1	Malignant neoplasm: Ampulla of Vater	cancer
C24.8	Malignant neoplasm: Overlapping lesion of biliary tract	cancer
C24.9	Malignant neoplasm: Biliary tract, unspecified	cancer
C25	Malignant neoplasm of pancreas	cancer
C25.0	Malignant neoplasm: Head of pancreas	cancer
C25.1	Malignant neoplasm: Body of pancreas	cancer
C25.2	Malignant neoplasm: Tail of pancreas	cancer
C25.3	Malignant neoplasm: Pancreatic duct	cancer
C25.4	Malignant neoplasm: Endocrine panreas	cancer
C25.7	Malignant neoplasm: Other parts of pancreas	cancer
C25.8	Malignant neoplasm: Overlapping lesion of pancreas	cancer
C25.9	Malignant neoplasm: Pancreas, unspecified	cancer
C26	Malignant neoplasm of other and ill-defined digestive organs	cancer
C26.0	Malignant neoplasm: Intestinal tract, part unspecified	cancer
C26.1	Malignant neoplasm: Spleen	cancer
C26.8	Malignant neoplasm: Overlapping lesion of digestive system	cancer
C26.9	Malignant neoplasm: Ill-defined sites within the digestive system	cancer
C30	Malignant neoplasm of nasal cavity and middle ear	cancer
C30.0	Malignant neoplasm: Nasal cavity	cancer
C30.1	Malignant neoplasm: Middle ear	cancer
C31	Malignant neoplasm of accessory sinuses	cancer
C31.0	Malignant neoplasm: Maxillary sinus	cancer
C31.1	Malignant neoplasm: Ethmoidal sinus	cancer
C31.2	Malignant neoplasm: Frontal sinus	cancer
C31.3	Malignant neoplasm: Sphenoidal sinus	cancer
C31.8	Malignant neoplasm: Overlapping lesion of accessory sinuses	cancer
C31.9	Malignant neoplasm: Accessory sinus, unspecified	cancer
C32	Malignant neoplasm larynx	cancer
C32.0	Malignant neoplasm: Glottis	cancer
C32.1	Malignant neoplasm: Supraglottis	cancer
C32.2	Malignant neoplasm: Subglottis	cancer
C32.3	Malignant neoplasm: Laryngeal cartilage	cancer
C32.8	Malignant neoplasm: Overlapping lesion of larynx	cancer
C32.9	Malignant neoplasm: Larynx, unspecified	cancer
C33	Malignant neoplasm of trachea	cancer
C34	Malignant neoplasm bronchus and lung	cancer
C34.0	Malignant neoplasm: Main bronchus	cancer
C34.1	Malignant neoplasm: Upper lobe, bronchus or lung	cancer
C34.2	Malignant neoplasm: Middle lobe, bronchus or lung	cancer
C34.3	Malignant neoplasm: Lower lobe, bronchus or lung	cancer
C34.8	Malignant neoplasm: Overlapping lesion of bronchus and lung	cancer
C34.9	Malignant neoplasm: Bronchus or lung, unspecified	cancer
C37	Malignant neoplasm of thymus	cancer
C38	Malignant neoplasm of heart, mediastinum and pleura	cancer
C38.0	Malignant neoplasm: Heart	cancer
C38.1	Malignant neoplasm: Anterior mediastinum	cancer
C38.2	Malignant neoplasm: Posterior mediastinum	cancer
C38.3	Malignant neoplasm: Mediastinum, part unspecified	cancer
C38.4	Malignant neoplasm: Pleura	cancer
C38.8	Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura	cancer
C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs	cancer
C39.0	Malignant neoplasm: Upper respiratory tract, part unspecified	cancer
C39.8	Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs	cancer
C39.9	Malignant neoplasm: Ill-defined sites within the respiratory system	cancer
C40	Malignant neoplasm of bone and articular cartilage of limbs	cancer
C40.0	Malignant neoplasm: Scapula and long bones of upper limb	cancer
C40.1	Malignant neoplasm: Short bones of upper limb	cancer
C40.2	Malignant neoplasm: Long bones of lower limb	cancer
C40.3	Malignant neoplasm: Short bones of lower limb	cancer
C40.8	Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs	cancer
C40.9	Malignant neoplasm: Bone and articular cartilage of limb, unspecified	cancer
C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	cancer
C41.0	Malignant neoplasm: Bones of skull and face	cancer
C41.1	Malignant neoplasm: Mandible	cancer
C41.2	Malignant neoplasm: Vertebral column	cancer
C41.3	Malignant neoplasm: Ribs, sternum and clavicle	cancer
C41.4	Malignant neoplasm: Pelvic bones, sacrum and coccyx	cancer
C41.8	Malignant neoplasm: Overlapping lesion of bone and articular cartilage	cancer
C41.9	Malignant neoplasm: Bone and articular cartilage, unspecified	cancer
C43	Malignant melanoma of skin	cancer
C43.0	Malignant neoplasm: Malignant melanoma of lip	cancer
C43.1	Malignant neoplasm: Malignant melanoma of eyelid, including canthus	cancer
C43.2	Malignant neoplasm: Malignant melanoma of ear and external auricular canal	cancer
C43.3	Malignant neoplasm: Malignant melanoma of other and unspecified parts of face	cancer
C43.4	Malignant neoplasm: Malignant melanoma of scalp and neck	cancer
C43.5	Malignant neoplasm: Melignant melanoma of trunk	cancer
C43.6	Malignant neoplasm: Malignant melanoma of upper limb, including shoulder	cancer
C43.7	Malignant neoplasm: Malignant melanoma of lower limb, including hip	cancer
C43.8	Malignant neoplasm: Overlapping of malignant melanoma of skin	cancer
C43.9	Malignant neoplasm: Malignant melanoma of skin, unspecified	cancer
C44	Other malignant neoplasms of skin	cancer
C44.0	Malignant neoplasm: Skin of lip	cancer
C44.1	Malignant neoplasm: Skin of eyelid, including canthus	cancer
C44.2	Malignant neoplasm: Skin of ear and external auricular canal	cancer
C44.3	Malignant neoplasm: Skin of other and unspecified parts of face	cancer
C44.4	Malignant neoplasm: Skin of scalp and neck	cancer
C44.5	Malignant neoplasm: Skin of trunk	cancer
C44.6	Malignant neoplasm: Skin of upper limb, including shoulder	cancer
C44.7	Malignant neoplasm: Skin of lower limb, including hip	cancer
C44.8	Malignant neoplasm: Overlapping lesion of skin	cancer
C44.9	Malignant neoplasm: Malignant neoplasm of skin, unspecified	cancer
C45	Mesothelioma	cancer
C45.0	Mesothelioma of pleura	cancer
C45.1	Mesothelioma of peritoneum	cancer
C45.2	Mesothelioma of pericardium	cancer
C45.7	Mesothelioma of other sites	cancer
C45.9	Mesothelioma, unspecified	cancer
C46	Kaposi sarcoma	cancer
C46.0	Kaposi sarcoma of skin	cancer
C46.1	Kaposi sarcoma of soft tissue	cancer
C46.2	Kaposi sarcoma of palate	cancer
C46.3	Kaposi sarcoma of lymph nodes	cancer
C46.7	Kaposi sarcoma of other sites	cancer
C46.8	Kaposi sarcoma of multiple organs	cancer
C46.9	Kaposi sarcoma, unspecified	cancer
C47	Malignant neoplasm of peripheral nerves and automatic nervous system	cancer
C47.0	Malignant neoplasm: Peripheral nerves of head, face and neck	cancer
C47.1	Malignant neoplasm: Peripheral nerves of upper limb, including shoulder	cancer
C47.2	Malignant neoplasm: Peripheral nerves of lower limb, including hip	cancer
C47.3	Malignant neoplasm: Peripheral nerves of thorax	cancer
C47.4	Malignant neoplasm: Peripheral nerves of abdomen	cancer
C47.5	Malignant neoplasm: Peripheral nerves of pelvis	cancer
C47.6	Malignant neoplasm: Peripheral nerves of trunch, unspecified	cancer
C47.8	Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system	cancer
C47.9	Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified	cancer
C48	Malignant neoplasm of retroperitoneum and peritoneum	cancer
C48.0	Malignant neoplasm: Retroperitoneum	cancer
C48.1	Malignant neoplasm: Specified parts of peritoneum	cancer
C48.2	Malignant neoplasm: Peritoneum, unspecified	cancer
C48.8	Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum	cancer
C49	Malignant neoplasm of other connective and soft tissue	cancer
C49.0	Malignant neoplasm: Connective and soft tissue of head, face and neck	cancer
C49.1	Malignant neioplasm: Connective and soft tissue of upper limb, including shoulder	cancer
C49.2	Malignant neoplasm: Connective and soft tissue of lower limb, including hip	cancer
C49.3	Malignant neoplasm: Connective and soft tissue of thorax	cancer
C49.4	Malignant neoplasm: Connective and soft tissue of abdomen	cancer
C49.5	Malignant neoplasm: Connective and soft tissue if pelvis	cancer
C49.6	Malignant neoplasm: Connective and soft tissue of trunk, unspecified	cancer
C49.8	Malignant neoplasm: Overlapping lesion of connective and soft tissue	cancer
C49.9	Malignant neoplasm: Connective and soft tissue, unspecified	cancer
C50	Malignant neoplasm of breast	cancer
C50.0	Malignant neoplasm: Nipple and areola	cancer
C50.1	Malignant neoplasm: Central portion of breast	cancer
C50.2	Malignant neoplasm: Upper-inner quadrant of breast	cancer
C50.3	Malignant neoplasm: Lower-inner quadrant of breast	cancer
C50.4	Malignant neoplasm: Upper-outer quadrant of breast	cancer
C50.5	Malignant neoplasm: Lower-outer quadrant of breast	cancer
C50.6	Malignant neoplasm: Axillary tail of breast	cancer
C50.8	Malignant neoplasm: Overlapping lesion of breast	cancer
C50.9	Malignant neoplasm: Breast, unspecified	cancer
C51	Malignant neoplasm of vulva	cancer
C51.0	Malignant neoplasm: Labium majus	cancer
C51.1	Malignant neoplasm: Labium minus	cancer
C51.2	Malignant neoplasm: Clitoris	cancer
C51.8	Malignant neoplasm: Overlapping lesion of vulva	cancer
C51.9	Malignant neoplasm: Vulva, unspecified	cancer
C52	Malignant neoplasm of vagina	cancer
C53	Malignant neoplasm of cervix uteri	cancer
C53.0	Malignant neoplasm: Endocervix	cancer
C53.1	Malignant neoplasm: Exocervix	cancer
C53.8	Malignant neoplasm: Overlapping lesion of cervix uteri	cancer
C53.9	Malignant neoplasm: Cervix uteri, unspecified	cancer
C54	Malignant neoplasm of corpus uteri	cancer
C54.0	Malignant neoplasm: Isthmus uteri	cancer
C54.1	Malignant neoplasm: Endometrium	cancer
C54.2	Malignant neoplasm: Myometrium	cancer
C54.3	Malignant neoplasm: Fundus uteri	cancer
C54.8	Malignant neoplasm: Overlapping lesion of corpus uteri	cancer
C54.9	Malignant neoplasm: Corpus uteri, unspecified	cancer
C55	Malignant neoplasm of uterus, part specified	cancer
C56	Malignant neoplasm of ovary	cancer
C57	Malignant neoplasm of other and unspecified female genital organs	cancer
C57.0	Malignant neoplasm: Fallopian tube	cancer
C57.1	Malignant neoplasm: Broad ligament	cancer
C57.2	Malignant neoplasm: Round ligament	cancer
C57.3	Malignant neoplasm: Parametrium	cancer
C57.4	Malignant neoplasm: Uterine adnexa, unspecified	cancer
C57.7	Malignant neoplasm: Other specified female genital organs	cancer
C57.8	Malignant neoplasm: Overlapping lesion of female genital organs	cancer
C57.9	Malignant neoplasm: Female genital organ, unspecified	cancer
C58	Malignant neoplasm of placenta	cancer
C60	Malignant neoplasm of penis	cancer
C60.0	Malignant neoplasm: Prepuce	cancer
C60.1	Malignant neoplasm: Glans penis	cancer
C60.2	Malignant neoplasm: Body of penis	cancer
C60.8	Malignant neoplasm: Overlapping lesion of penis	cancer
C60.9	Malignant neoplasm: Penis, unspecified	cancer
C61	Malignant neoplasm of prostate	cancer
C62	Malignant neoplasm of testis	cancer
C62.0	Malignant neoplasm: Undescended testis	cancer
C62.1	Malignant neoplasm: Descended testis	cancer
C62.9	Maligant neoplasm: Testis, unspecified	cancer
C63	Malignant neoplasm of other and unspecified male genital organs	cancer
C63.0	Malignant neoplasm: Epididymis	cancer
C63.1	Malignant neoplasm: Spermatic cord	cancer
C63.2	Malignant neoplasm: Scrotum	cancer
C63.7	Malignant neoplasm: Other specified male genital organs	cancer
C63.8	Malignant neoplasm: Overlapping lesion of male genital organs	cancer
C63.9	Malignant neoplasm: Male genital organ, unspecified	cancer
C64	Malignant neoplasm of kidney, except renal pelvis	cancer
C65	Malignant neoplasm of renal pelvis	cancer
C66	Malignant neoplasm of ureter	cancer
C67	Malignant neoplasm of bladder	cancer
C67.0	Malignant neoplasm: Trigone of bladder	cancer
C67.1	Malignant neoplasm: Dome of bladder	cancer
C67.2	Malignant neoplasm: Lateral wall of bladder	cancer
C67.3	Malignant neoplasm: Anterior wall of bladder	cancer
C67.4	Malignant neoplasm: Posterior wall of bladder	cancer
C67.5	Malignant neoplasm: Bladder neck	cancer
C67.6	Malignant neoplasm: Ureteric orifice	cancer
C67.7	Malignant neoplasm: Urachus	cancer
C67.8	Malignant neoplasm: Overlapping lesion of bladder	cancer
C67.9	Malignant neoplasm: Bladder, unspecified	cancer
C68	Malignant neoplasm: Urethra	cancer
C68.0	Malignant neoplasm: Urethra	cancer
C68.1	Malignant neoplasm: Paraurethral gland	cancer
C68.8	Malignant neoplasm: Overlapping lesion of urinary organs	cancer
C68.9	Malignant neoplasm: Urinary organ, unspecified	cancer
C69	Malignant neoplasm of eye and adnexa	cancer
C69.0	Malignant neoplasm: Conjunctiva	cancer
C69.1	Malignant neoplasm: Cornea	cancer
C69.2	Malignant neoplasm: Retina	cancer
C69.3	Malignant neoplasm: Choroid	cancer
C69.4	Malignant neoplasm: Ciliary body	cancer
C69.5	Malignant neoplasm: Lacrimal gland and duct	cancer
C69.6	Malignant neoplasm: Orbit	cancer
C69.8	Malignant neoplasm: Overlapping lesion of eye and adnexa	cancer
C69.9	Malignant neoplasm: Eye, unspecified	cancer
C70	Malignant neoplasm meninges	cancer
C70.0	Malignant neoplasm: Cerebral meninges	cancer
C70.1	Malignant neoplasm: Spinal meninges	cancer
C70.9	Malignant neoplasm: Meninges, unspecified	cancer
C71	Malignant neoplasm of brain	cancer
C71.0	Malignant neoplasm: Cerebrum, except lobes and ventricles	cancer
C71.1	Malignant neoplasm: Frontal lobe	cancer
C71.2	Malignant neoplasm: Temporal lobe	cancer
C71.3	Malignant neoplasm: Parietal lobe	cancer
C71.4	Malignant neoplasm: Occipital lobe	cancer
C71.5	Malignant neoplasm: Cerebral ventricle	cancer
C71.6	Malignant neoplasm: Cerebellum	cancer
C71.7	Malignant neoplasm: Brain stem	cancer
C71.8	Malignant neoplasm: Overlapping lesion of brain	cancer
C71.9	Malignant neoplasm: Brain, unspecified	cancer
C72	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	cancer
C72.0	Malignant neoplasm: Spinal cord	cancer
C72.1	Malignant neoplasm: Cauda equina	cancer
C72.2	Malignant neoplasm: Olfactory nerve	cancer
C72.3	Malignant neoplasm: Optic nerve	cancer
C72.4	Malignant neoplasm: Acoustic nerve	cancer
C72.5	Malignant neoplasm: Other and unspecified cranial nerves	cancer
C72.8	Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system	cancer
C72.9	Malignant neoplasm: Central nervous system, unspecified	cancer
C73	Malignant neoplasm of thyroid gland	cancer
C74	Malignant neoplasm of adrenal gland	cancer
C74.0	Malignant neoplasm: Cortex of adrenal gland	cancer
C74.1	Malignant neoplasm: Medulla of adrenal gland	cancer
C74.9	Malignant neoplasm: Adrenal gland, unspecified	cancer
C75	Malignant neoplasm of other endocrine glands and related structures	cancer
C75.0	Malignant neoplasm: Parathyroid gland	cancer
C75.1	Malignant neoplasm: Pituitary gland	cancer
C75.2	Malignant neoplasm: Craniopharyngeal duct	cancer
C75.3	Malignant neoplasm: Pineal gland	cancer
C75.4	Malignant neoplasm: Carotid body	cancer
C75.5	Malignant neoplasm: Aortic body and other paraganglia	cancer
C75.8	Malignant neoplasm: Pluriglandular involvement, unspecified	cancer
C75.9	Malignant neoplasm: Endocrine gland, unspecified	cancer
C76	Malignant neoplasm of other and ill-defined sites	cancer
C76.0	Malignant neoplasm of other and ill-defined sites: Head, face and neck	cancer
C76.1	Malignant neoplasm of other and ill-defined sites: Thorax	cancer
C76.2	Malignant neoplasm of other and ill-defined sites: Abdomen	cancer
C76.3	Malignant neoplasm of other and ill-defined sites: Pelvis	cancer
C76.4	Malignant neoplasm of other and ill-defined sites: Upper limb	cancer
C76.5	Malignant neoplasm of other and ill-defined sites: Lower limb	cancer
C76.7	Malignant neoplasm of other and ill-defined sites: Other ill-defined sites	cancer
C76.8	Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites	cancer
C77	Secondary and unspecified malignant neoplasm of lymph nodes	cancer
C77.0	Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck	cancer
C77.1	Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes	cancer
C77.2	Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes	cancer
C77.3	Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes	cancer
C77.4	Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes	cancer
C77.5	Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes	cancer
C77.8	Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions	cancer
C77.9	Secondary and unspecified malignant neoplasm: Lymph node, unspecified	cancer
C78	Secondary malignant neoplasm of respiratory and digestive organs	cancer
C78.0	Secondary malignant neoplasm of lung	cancer
C78.1	Secondary malignant neoplasm of mediastinum	cancer
C78.2	Secondary malignant neoplasm of pleura	cancer
C78.3	Secondary malignant neoplasm of other and unspecified respiratory organs	cancer
C78.4	Secondary malignant neoplasm of small intestine	cancer
C78.5	Secondary malignant neoplasm of large inestine and rectum	cancer
C78.6	Secondary malignant neoplasm of retroperitoneum and peritoneum	cancer
C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct	cancer
C78.8	Secondary malignant neoplasm of other and unspecified digestive organs	cancer
C79	Secondary malignant neoplasm of other and unspecified sites	cancer
C79.0	Secondary malignant neoplasm of kidney and renal pelvis	cancer
C79.1	Secondary malignant neoplasm of bladder and other unspecified urinary organs	cancer
C79.2	Secondary malignant neoplasm of skin	cancer
C79.3	Secondary malignant neoplasm of brain and cerebral meninges	cancer
C79.4	Secondary malignant neoplasm of other and unspecified parts of nervous system	cancer
C79.5	Secondary malignant neoplasm of bone and bone marrow	cancer
C79.6	Secondary malignant neoplasm of ovary	cancer
C79.7	Secondary malignant neoplasm of adrenal gland	cancer
C79.8	Secondary malignant neoplasm of other specified sites	cancer
C79.9	Secondary malignant neoplasm, unspecified site	cancer
C80	Malignant neoplasm, without specification of site	cancer
C80.0	Malignant neoplasm, primary site unknown, so stated	cancer
C80.9	Malignant neoplasm, unspecified	cancer
C81	Hodgkin lymphoma	cancer
C81.0	Nodular lymphocyte predominant Hodgkin lymphoma	cancer
C81.1	Nodular sclerosis classical Hodgkin lymphoma	cancer
C81.2	Mixed cellularity classical Hodgkin lymphoma	cancer
C81.3	Lymphocyte depleted classical Hodgkin lymphoma	cancer
C81.4	Lymphocyte-rich (classical) Hodgkin lymphoma	cancer
C81.7	Other classical Hodgkin lymphoma	cancer
C81.9	Hodgkin lymphoma, unspecified	cancer
C82	Follicular lymphoma	cancer
C82.0	Follicular lymphoma grade I	cancer
C82.1	Follicular lymphoma grade II	cancer
C82.2	Follicular lymphoma grade III, unspecified	cancer
C82.3	Follicular lymphoma grade IIIa	cancer
C82.4	Follicular lymphoma grade IIIb	cancer
C82.5	Diffuse follicle centre lymphoma	cancer
C82.6	Cutaneous follicle centre lymphoma	cancer
C82.7	Other types of follicular lymphoma	cancer
C82.9	Follicular lymphoma, unspecified	cancer
C83	Non-follicular lymphoma	cancer
C83.0	Small cell B-cell lymphoma	cancer
C83.1	Mantle cell lymphoma	cancer
C83.3	Diffuse large B-cell lymphoma	cancer
C83.5	Lymphoblastic (diffuse) lymphoma	cancer
C83.7	Burkitt lymphoma	cancer
C83.8	Other non-follicular lymphoma	cancer
C83.9	Non-follicular (diffuse) lymphoma, unspecified	cancer
C84	Mature T/NK-cell lymphomas	cancer
C84.0	Mycosis fungoides	cancer
C84.1	Sézary disease	cancer
