snomedctconceptid	medcodeid	term	term_main
5843004	305841000006110	[M]Basaloid carcinoma	cancer
47107000	305861000006114	[M]Basophil carcinoma	cancer
37304002	305901000006119	[M]Basosquamous carcinoma	cancer
20955008	305921000006112	[M]Beta-cell tumour, malignant	cancer
70179006	305941000006117	[M]Bile duct carcinoma	cancer
50422007	305951000006115	[M]Bile duct cystadenocarcinoma	cancer
126853008	305971000006113	[M]Biliary tract adenomas and adenocarcinomas	cancer
67159000	1216845011	[M]Blue naevus, malignant	cancer
67182003	407801000000116	[M]Borderline mucinous cystadenoma of the ovary	cancer
84999002	291356015	[M]Bowen's disease	cancer
42194009	306091000006115	[M]Brenner tumour, malignant	cancer
115244002	306111000006112	[M]Brill - Symmers' disease	cancer
112677002	306131000006118	[M]Bronchiolar carcinoma	cancer
112677002	1219789016	[M]Bronchiolo-alveolar adenocarcinoma	cancer
32913002	306211000006118	[M]C cell carcinoma	cancer
253003009	306261000006115	[M]Carcinoid bronchial adenoma	cancer
48554007	1216670013	[M]Carcinoid tumour, argentaffin, malignant	cancer
189607006	291414018	[M]Carcinoid tumour, malignant	cancer
189607006	291419011	[M]Carcinoid tumour, nonargentaffin, malignant	cancer
189607006	291418015	[M]Carcinoid tumour, nonargentaffin, NOS	cancer
189607006	291408013	[M]Carcinoid tumours	cancer
189607006	291425010	[M]Carcinoid tumours NOS	cancer
17264009	1221504012	[M]Carcinoma in pleomorphic adenoma	cancer
109355002	306361000006113	[M]Carcinoma in situ NOS	cancer
367651003	291326012	[M]Carcinoma NOS	cancer
58248003	291330010	[M]Carcinoma, anaplastic type, NOS	cancer
24505004	306401000006115	[M]Carcinoma, diffuse type	cancer
79282002	291327015	[M]Carcinoma, metastatic, NOS	cancer
38549000	291329017	[M]Carcinoma, undifferentiated type, NOS	cancer
7010000	1233222010	[M]Carcinomatosis	cancer
63264007	291676017	[M]Carcinosarcoma NOS	cancer
112685006	306451000006116	[M]Carcinosarcoma, embryonal type	cancer
17302008	291837016	[M]Cerebellar sarcoma NOS	cancer
70179006	306641000006116	[M]Cholangiocarcinoma	cancer
76312009	306661000006117	[M]Chondroblastic osteosarcoma	cancer
74279005	306681000006110	[M]Chondroblastoma, malignant	cancer
14990007	291782010	[M]Chondrosarcoma NOS	cancer
50007008	306771000006119	[M]Chordoma	cancer
44769000	1230128019	[M]Choriocarcinoma	cancer
189857001	306821000006110	[M]Choriocarcinoma combined with teratoma	cancer
1443001	306901000006111	[M]Chromophobe carcinoma	cancer
30546008	291443014	[M]Clear cell adenocarcinoma NOS	cancer
24007003	307051000006111	[M]Clear cell sarcoma of kidney	cancer
12622007	291700017	[M]Clear cell sarcoma of tendons and aponeuroses	cancer
84570003	307071000006118	[M]Cloacogenic carcinoma	cancer
72495009	307091000006117	[M]Colloid adenocarcinoma	cancer
52178006	1231089017	[M]Combined hepatocellular carcinoma and cholangiocarcinoma	cancer
722237009	291536017	[M]Comedocarcinoma NOS	cancer
78197004	307131000006115	[M]Comedocarcinoma, noninfiltrating	cancer
52040006	307251000006119	[M]Congenital fibrosarcoma	cancer
30156004	307271000006112	[M]Cribriform carcinoma	cancer
11671000	307281000006110	[M]Cylindroid adenocarcinoma	cancer
11671000	307291000006113	[M]Cylindroid bronchial adenoma	cancer
21008007	291495018	[M]Cystadenocarcinoma NOS	cancer
189826001	307441000006115	[M]Cystosarcoma phyllodes, malignant	cancer
67280001	1232905013	[M]Dedifferentiated liposarcoma	cancer
76594008	1234006011	[M]Dermatofibroma protuberans	cancer
76594008	215889013	[M]Dermatofibrosarcoma NOS	cancer
189849004	307531000006112	[M]Dermoid cyst with malignant transformation	cancer
32456001	307571000006110	[M]Desmoplastic medulloblastoma	cancer
51757004	1231028010	[M]Desmoplastic melanoma, malignant	cancer
82711006	307631000006111	[M]Duct carcinoma NOS	cancer
28047004	291718019	[M]Embryonal carcinoma NOS	cancer
45024009	307801000006119	[M]Embryonal hepatoma	cancer
27849002	307811000006116	[M]Embryonal liposarcoma	cancer
14269005	307821000006112	[M]Embryonal rhabdomyosarcoma	cancer
59583009	307831000006110	[M]Embryonal sarcoma	cancer
19467007	307841000006117	[M]Embryonal teratoma	cancer
74409009	307861000006118	[M]Endodermal sinus tumour	cancer
70555003	307891000006114	[M]Endometrial stromal sarcoma	cancer
18105004	307921000006115	[M]Endometrioid adenofibroma, malignant	cancer
30289006	307971000006119	[M]Endometrioid carcinoma	cancer
76909002	308001000006111	[M]Endothelial bone sarcoma	cancer
51217003	308031000006115	[M]Eosinophil carcinoma	cancer
21589007	308071000006117	[M]Ependymoblastoma	cancer
443354006	291825018	[M]Ependymoma NOS	cancer
21589007	308091000006116	[M]Ependymoma, anaplastic type	cancer
59529006	308101000006110	[M]Epidermoid carcinoma in situ	cancer
28899001	308111000006113	[M]Epidermoid carcinoma NOS	cancer
18048008	308121000006117	[M]Epidermoid carcinoma, keratinising type	cancer
9618003	1235961012	[M]Epithelial-myoepithelial carcinoma	cancer
37138001	308181000006118	[M]Epithelioid cell melanoma	cancer
59238007	308191000006115	[M]Epithelioid cell sarcoma	cancer
54124005	1216731014	[M]Epithelioid haemangioendothelioma, malignant	cancer
42392001	308241000006115	[M]Epithelioid leiomyosarcoma	cancer
65278006	308261000006116	[M]Epithelioid mesothelioma, malignant	cancer
71298006	308291000006112	[M]Epithelioma, malignant	cancer
76909002	308351000006112	[M]Ewing's sarcoma	cancer
71314006	308461000006115	[M]Fibrillary astrocytoma	cancer
12690005	308491000006111	[M]Fibroblastic osteosarcoma	cancer
14990007	308501000006115	[M]Fibrochondrosarcoma	cancer
49430005	308551000006116	[M]Fibroliposarcoma	cancer
115225009	291635014	[M]Fibromatous neoplasm NOS	cancer
115225009	291626019	[M]Fibromatous neoplasms	cancer
6250003	308641000006117	[M]Fibromyxosarcoma	cancer
53654007	1231237017	[M]Fibrosarcoma NOS	cancer
34360000	308671000006113	[M]Fibrous histiocytoma, malignant	cancer
54443001	308701000006114	[M]Fibrous mesothelioma, malignant	cancer
34360000	308731000006118	[M]Fibroxanthoma, malignant	cancer
115225009	376870016	[M]Fibroxanthosarcoma	cancer
5257006	291452017	[M]Follicular adenocarcinoma NOS	cancer
72174007	308761000006110	[M]Follicular adenocarcinoma, trabecular type	cancer
28173006	308771000006115	[M]Follicular adenocarcinoma, well differentiated type	cancer
5257006	1222216017	[M]Follicular carcinoma	cancer
115244002	308801000006118	[M]Follicular lymphosarcoma NOS	cancer
19756007	308821000006111	[M]G cell tumour, malignant	cancer
69515008	308861000006117	[M]Ganglioneuroblastoma	cancer
19756007	308941000006114	[M]Gastrinoma, malignant	cancer
72495009	308951000006111	[M]Gelatinous adenocarcinoma	cancer
73982001	308961000006113	[M]Gemistocytic astrocytoma	cancer
115244002	1222222014	[M]Germinoblastic sarcoma NOS	cancer
40411000	309011000006119	[M]Germinoblastic sarcoma, follicular	cancer
28307001	309041000006115	[M]Germinoma	cancer
72969003	309061000006116	[M]Giant cell and spindle cell carcinoma	cancer
10069009	309071000006111	[M]Giant cell bone sarcoma	cancer
42596004	309081000006114	[M]Giant cell carcinoma	cancer
44529004	309091000006112	[M]Giant cell glioblastoma	cancer
87992000	1235290011	[M]Giant cell sarcoma (except of bone)	cancer
10069009	309131000006114	[M]Giant cell tumour of bone, malignant	cancer
115244002	309181000006110	[M]Giant follicular lymphoma	cancer
63634009	309231000006115	[M]Glioblastoma multiforme	cancer
63634009	403757015	[M]Glioblastoma NOS	cancer
35262004	309251000006110	[M]Glioblastoma with sarcomatous component	cancer
74532006	2552865010	[M]Glioma NOS	cancer
74532006	309261000006112	[M]Glioma NOS	cancer
74532006	309281000006119	[M]Glioma, malignant	cancer
115240006	2550105015	[M]Gliomas	cancer
26138003	309301000006115	[M]Gliomatosis cerebri	cancer
35262004	309321000006113	[M]Gliosarcoma	cancer
13875003	309351000006116	[M]Glomangiosarcoma	cancer
13875003	309361000006119	[M]Glomoid sarcoma	cancer
66515009	309401000006112	[M]Glucagonoma, malignant	cancer
31396002	309431000006116	[M]Goblet cell tumour	cancer
69028005	309471000006118	[M]Granular cell carcinoma	cancer
18861007	309551000006112	[M]Granulosa cell tumour, malignant	cancer
41607009	309571000006119	[M]Grawitz tumour	cancer
33176006	309641000006111	[M]Haemangioendothelioma, malignant	cancer
84664004	309731000006110	[M]Haemangiopericytoma, malignant	cancer
39000009	309741000006117	[M]Haemangiosarcoma	cancer
126853008	291383019	[M]Hepatobiliary adenoma or carcinoma NOS	cancer
126853008	291380016	[M]Hepatobiliary tract adenomas and carcinomas	cancer
45024009	309811000006113	[M]Hepatoblastoma	cancer
25370001	1224870013	[M]Hepatocellular carcinoma NOS	cancer
15619004	1221209015	[M]Hepatocellular carcinoma, fibrolamellar	cancer
52178006	309851000006114	[M]Hepatocholangiocarcinoma	cancer
25370001	309891000006115	[M]Hepatoma, malignant	cancer
128920006	291958014	[M]Histiocytic medullary reticulosis	cancer
14537002	1221109014	[M]Hodgkin's disease	cancer
128930002	453326010	[M]Hodgkin's disease NOS	cancer
128930002	309991000006111	[M]Hodgkin's disease NOS	cancer
112687003	215913019	[M]Hodgkin's disease, lymphocytic depletion NOS	cancer
128799007	291931019	[M]Hodgkin's disease, lymphocytic predominance	cancer
41529000	1229767019	[M]Hodgkin's disease, mixed cellularity	cancer
52248008	215914013	[M]Hodgkin's disease, nodular sclerosis NOS	cancer
39086001	1229491012	[M]Hodgkin's disease, nodular sclerosis, cellular phase	cancer
16893006	310071000006116	[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis	cancer
74189002	1233711012	[M]Hodgkin's granuloma	cancer
70600005	291934010	[M]Hodgkin's paragranuloma	cancer
128799007	291932014	[M]Hodgkin,s disease, lymphocytic predominance, diffuse	cancer
70600005	1233285010	[M]Hodgkin,s disease, lymphocytic predominance, nodular	cancer
43985008	310131000006118	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic deplet	cancer
45572000	310141000006111	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom	cancer
45572000	291933016	[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity	cancer
57596004	310161000006110	[M]Hurthle cell adenocarcinoma	cancer
61217001	1232189017	[M]Hutchinson's melanotic freckle	cancer
41607009	310241000006119	[M]Hypernephroma	cancer
19467007	310261000006115	[M]Immature teratoma	cancer
74409009	310271000006110	[M]Infantile embryonal carcinoma	cancer
52040006	310281000006113	[M]Infantile fibrosarcoma	cancer
35232005	1228259019	[M]Infiltrating duct and lobular carcinoma	cancer
82711006	310311000006110	[M]Infiltrating duct carcinoma	cancer
58477004	310321000006119	[M]Infiltrating ductular carcinoma	cancer
32968003	310341000006114	[M]Inflammatory carcinoma	cancer
20955008	310361000006113	[M]Insulinoma, malignant	cancer
77870005	310391000006117	[M]Interstitial cell tumour, malignant	cancer
703545003	310411000006117	[M]Intracystic carcinoma NOS	cancer
18680006	291539012	[M]Intraductal carcinoma and lobular carcinoma in situ	cancer
86616005	310451000006116	[M]Intraductal carcinoma, noninfiltrating NOS	cancer
64524002	1232564019	[M]Intraductal papillary adenocarcinoma with invasion	cancer
59529006	310491000006110	[M]Intraepidermal carcinoma NOS	cancer
20365006	310521000006112	[M]Intraepit neop,grade III,of cervix, vulva and vagina	cancer
109355002	310531000006110	[M]Intraepithelial carcinoma NOS	cancer
59529006	310541000006117	[M]Intraepithelial squamous cell carcinoma	cancer
26888009	310571000006113	[M]Intraosseous carcinoma	cancer
60346004	310661000006117	[M]Islet cell carcinoma	cancer
128854008	310731000006117	[M]Juvenile astrocytoma	cancer
41919003	310741000006110	[M]Juvenile breast carcinoma	cancer
26211003	310791000006118	[M]Juxtacortical chondrosarcoma	cancer
115237006	310801000006117	[M]Juxtacortical osteogenic sarcoma	cancer
49937004	1230800010	[M]Kaposi's sarcoma	cancer
6492006	1216826019	[M]Klatskin's tumour	cancer
4305004	310861000006116	[M]Krukenberg tumour	cancer
22687000	291328013	[M]Large cell carcinoma NOS	cancer
400011005	291653015	[M]Leiomyosarcoma NOS	cancer
302836005	310951000006110	[M]Lentigo maligna	cancer
302836005	310961000006112	[M]Lentigo maligna melanoma	cancer
78303004	310971000006117	[M]Leptomeningeal sarcoma	cancer
128812005	1220817012	[M]Letterer - Siwe disease	cancer
77870005	311091000006110	[M]Leydig cell tumour, malignant	cancer
37995004	1229372013	[M]Linitis plastica	cancer
49430005	291638011	[M]Liposarcoma NOS	cancer
28655007	311191000006111	[M]Liposarcoma, well differentiated type	cancer
25370001	311211000006112	[M]Liver cell carcinoma	cancer
77284006	311221000006116	[M]Lobular carcinoma in situ	cancer
89740008	291540014	[M]Lobular carcinoma NOS	cancer
63373002	311301000006118	[M]Lymphangiosarcoma	cancer
115244002	1222221019	[M]Lymphoblastic lymphoma NOS	cancer
115244002	311351000006119	[M]Lymphoblastic lymphosarcoma NOS	cancer
115244002	311361000006117	[M]Lymphoblastoma NOS	cancer
115244002	1222219012	[M]Lymphocytic lymphoma NOS	cancer
115244002	1222220018	[M]Lymphocytic lymphosarcoma NOS	cancer
7300000	311391000006113	[M]Lymphoepithelial carcinoma	cancer
128929007	403760010	[M]Lymphogranuloma, malignant	cancer
21964009	311431000006119	[M]Lymphoma NOS	cancer
414628006	311441000006112	[M]Lymphoma, diffuse or NOS	cancer
414628006	291953017	[M]Lymphoma, nodular or follicular NOS	cancer
115245001	311461000006111	[M]Lymphomas, nodular or follicular	cancer
414628006	291887011	[M]Lymphomas, NOS or diffuse	cancer
115244002	311521000006118	[M]Lymphosarcoma NOS	cancer
115244002	311561000006112	[M]Malig lymp, follicular centre cell, cleaved, follicular	cancer
115244002	311571000006117	[M]Malig lymp, lymphocytic, intermediate different, nodular	cancer
115244002	311581000006119	[M]Malig lymp, lymphocytic, poorly differentiated, nodular	cancer
115244002	311591000006116	[M]Malig lymp,follicular centre cell,noncleaved,follicular	cancer
115244002	311601000006112	[M]Malig lymphoma, follicular centre cell, non-cleaved NOS	cancer
115244002	311611000006110	[M]Malig lymphoma, lymphocytic, intermediate different NOS	cancer
115244002	311621000006119	[M]Malig lymphoma, lymphocytic, well differentiated,nodular	cancer
74654000	311641000006114	[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse	cancer
48460009	311651000006111	[M]Malignant giant cell tumour of soft parts	cancer
128920006	215915014	[M]Malignant histiocytosis	cancer
21964009	311671000006118	[M]Malignant lymphoma NOS	cancer
115244002	291910017	[M]Malignant lymphoma, centroblastic type NOS	cancer
40411000	1229648010	[M]Malignant lymphoma, centroblastic type, follicular	cancer
115244002	291900014	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse	cancer
115244002	291943018	[M]Malignant lymphoma, centroblastic-centrocytic, follicular	cancer
115244002	291905016	[M]Malignant lymphoma, centrocytic	cancer
