prodcodeid	productname
10951041000033114	albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices
10951141000033113	albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices
10952341000033119	eperzan 30mg powder and solvent for solution for injection pre-filled pen
10953041000033113	eperzan 50mg powder and solvent for solution for injection pre-filled pen
10982741000033111	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10982841000033118	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10982941000033114	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
10983041000033116	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
10983141000033117	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
10983241000033112	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10983341000033119	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge
10983441000033113	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
10983541000033114	haemofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
11075341000033112	bd viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11075441000033118	bd viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11075541000033117	bd viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11078441000033114	carepoint needles for insulin pens 4 mm/31 gauge
11078541000033110	carepoint needles for insulin pens 5 mm/31 gauge
11078641000033111	carepoint needles for insulin pens 6 mm/31 gauge
11078741000033119	carepoint needles for insulin pens 8 mm/31 gauge
11078841000033112	carepoint needles for insulin pens 12 mm/29 gauge
1119741000033114	insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials
11414341000033114	nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge
11414441000033115	hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge
11441000033114	acarbose 100mg tablets
1153441000033112	rastinon tablets 500 mg
11536041000033117	mylife clickfine autoprotect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11541000033110	acarbose 50mg tablets
11736441000033110	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
11736541000033111	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11736641000033112	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
11736741000033115	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11736841000033113	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge
11736941000033117	neon verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
11737041000033116	neon verifine ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11746741000033119	sharpsguard disposal unit
11746841000033112	sharpsguard disposal unit
11767441000033115	profine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
11767541000033119	profine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11767641000033118	profine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
11767941000033113	profine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
11768141000033110	profine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
11781341000033117	metformin 1g/5ml oral solution sugar free
11781441000033111	metformin 850mg/5ml oral solution sugar free
11813541000033114	microdot verifine safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
11814141000033119	neon verifine safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
11814341000033116	neon verifine safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
1184741000033113	romozin tablets 200 mg
1184841000033115	romozin tablets 300 mg
1184941000033111	romozin tablets 400 mg
11898041000033111	saxagliptin 5mg / dapagliflozin 10mg tablets
11898141000033110	qtern 5mg/10mg tablets
11918941000033116	zicron pr 30mg tablets
11919041000033113	saxenda 6mg/ml solution for injection 3ml pre-filled pen
12146841000033115	omnican fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12186441000033111	fiasp 100units/ml solution for injection 10ml vials
12186541000033112	fiasp flextouch 100units/ml solution for injection 3ml pre-filled pen
12186641000033113	fiasp penfill 100units/ml solution for injection 3ml cartridges
12326541000033110	meijumet 500mg modified-release tablets
12326641000033111	meijumet 750mg modified-release tablets
12326741000033119	meijumet 1000mg modified-release tablets
12333341000033110	allstar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12333441000033116	allstar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12380741000033111	omnican fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12380841000033118	omnican fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
12380941000033114	omnican fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
12388941000033112	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
12389141000033116	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12389241000033111	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12389341000033118	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12389441000033112	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
1240741000033113	sabre disposable insulin syringe 0.5 ml
1240841000033115	sabre disposable insulin syringe 1 ml
12419841000033117	bd viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12436041000033110	allstar pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12436141000033114	allstar pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
12447541000033115	glucorx carepoint ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12477441000033117	teduglutide 1.25mg powder and solvent for solution for injection vials
12477541000033116	revestive 1.25mg powder and solvent for solution for injection vials
12478141000033112	glucorx carepoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
12480041000033117	dropsafe safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12480141000033118	dropsafe safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12481641000033115	humulin r kwikpen 500units/ml solution for injection 3ml pre-filled pen
12486241000033111	humalog junior kwikpen 100units/ml solution for injection 3ml pre-filled pen
12499641000033117	mylife penfine classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12499741000033114	neria guard subcutaneous drug delivery device 12cm tubing 6mm needle 27gauge
12499841000033116	neria guard subcutaneous drug delivery device 12cm tubing 9mm needle 27gauge
12499941000033112	neria guard subcutaneous drug delivery device 60cm tubing 6mm needle 27gauge
12500041000033112	neria guard subcutaneous drug delivery device 60cm tubing 9mm needle 27gauge
12500141000033111	neria guard subcutaneous drug delivery device 110cm tubing 6mm needle 27gauge
12500241000033116	neria guard subcutaneous drug delivery device 110cm tubing 9mm needle 27gauge
12518941000033113	unifine pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
12519341000033119	unifine pentips plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge
12519841000033111	carefine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12519941000033115	carefine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12520041000033117	carefine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12520141000033118	carefine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12541241000033115	u100 insulin sterile, single use syringes with 12mm needle 0.3 ml, 0.3 mm/30g
12573641000033115	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge
12573741000033112	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
12573841000033119	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
12573941000033110	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
12574041000033112	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
12574141000033111	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
12574241000033116	4sure hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
12593141000033115	yaltormin sr 500mg tablets
12593241000033110	yaltormin sr 750mg tablets
12593341000033117	yaltormin sr 1000mg tablets
12600741000033116	insulin lispro sanofi 100units/ml solution for injection 10ml vials
12600841000033114	insulin lispro sanofi 100units/ml solution for injection 3ml cartridges
12600941000033118	insulin lispro sanofi 100units/ml solution for injection 3ml pre-filled pen
12624241000033111	insulin soluble porcine 100units/ml solution for injection 10ml vials
12641000033116	acetohexamide tablets 500 mg
12664441000033115	metuxtan sr 500mg tablets
12686641000033112	semglee 100units/ml solution for injection 3ml pre-filled pen
12711741000033115	microdot max safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
1278041000033114	semi-daonil 2.5mg tablets
12876141000033116	semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device
12876241000033111	semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device
12876341000033118	semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device
12876441000033112	ozempic 1mg/0.74ml solution for injection 3ml pre-filled pen
12876541000033113	ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pen
12876641000033114	ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pen
12880941000033111	ertugliflozin 5mg tablets
12881041000033118	ertugliflozin 15mg tablets
12881141000033119	steglatro 5mg tablets
12881241000033114	steglatro 15mg tablets
12902541000033110	suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled solostar pen
12902641000033111	suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled solostar pen
12902741000033119	insulin glargine 100units/ml / lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices
12902841000033112	insulin glargine 100units/ml / lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices
12998741000033119	insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices
12998841000033112	toujeo 300units/ml solution for injection 3ml pre-filled doublestar pen
12998941000033116	gliclazide 160mg tablets
12999041000033113	glydex 160mg tablets
13027441000033117	glucorx safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge
13027541000033116	glucorx safety pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
1415541000033116	terumo disposable insulin syringe 0.5 ml
1450941000033113	tolbutamide 500mg tablets
1452241000033117	tolanase tablets 100 mg
1452341000033110	tolanase tablets 250 mg
1452741000033111	tolazamide tablets 100 mg
1452841000033118	tolazamide tablets 250 mg
1472141000033110	troglitazone tablets 200 mg
1472241000033115	troglitazone tablets 300 mg
1472341000033113	troglitazone tablets 400 mg
1480541000033110	hypodermic u100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge
1480641000033111	u100 insulin sterile, single use syringes with 12mm needle 0.3 ml, 0.36 mm/28g
1480741000033119	u100 insulin sterile, single use syringes with 12mm needle 0.3 ml, 0.4 mm/27g
1480841000033112	u100 insulin sterile, single use syringes with 12mm needle 0.3 ml, 0.45 mm/26g
1480941000033116	hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge
1481041000033114	hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.36mm/28gauge
1481141000033113	hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.4mm/27gauge
1481241000033118	u100 insulin sterile, single use syringes with 12mm needle 0.5 ml, 0.45 mm/26g
1481341000033111	u100 insulin sterile, single use syringes with needle 0.36 x 13 mm/28g ref no443723113
148841000033116	biphasic insulin injection 100 units/ml
1490141000033119	unifine hypodermic u100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge
1577541000033112	bd micro-fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge
1602941000033117	diaglyk 80mg tablets
1615941000033113	humulin i 100units/ml suspension for injection 3ml cartridges
1616041000033115	humulin s 100units/ml solution for injection 3ml cartridges
1616241000033111	humulin m2 100units/ml suspension for injection 3ml cartridges
1616341000033118	humulin m3 100units/ml suspension for injection 3ml cartridges
1620641000033115	isophane insulin (human pyr) injection 100 units/ml, 10 ml vial
1621141000033118	isophane insulin (human pyr) penfill cartridges (1.5 ml) 100 units/ml
1621241000033113	isophane insulin (human pyr) penfill cartridges (3 ml) 100 units/ml
1621341000033115	isophane insulin (human pyr) preloaded pen 100 units/ml
1659941000033116	novonorm 500microgram tablets
1660041000033118	novonorm 1mg tablets
1660141000033119	novonorm 2mg tablets
1672741000033112	repaglinide 1mg tablets
1672841000033119	repaglinide 2mg tablets
1672941000033110	repaglinide 500microgram tablets
1703341000033115	hypodermic u100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge
1703441000033114	hypodermic u100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge
1703541000033110	hypodermic u100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge
1703641000033111	hypodermic u100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge
1703741000033119	u100 insulin sterile, single use syringes with 12mm needle 1 ml, 0.45 mm/26g
1703841000033112	hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge
1714041000033116	human insulatard penfill 100units/ml suspension for injection 1.5ml cartridges
1717041000033114	bd micro-fine + hypodermic u100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge
1717141000033113	bd micro-fine + hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge
1717341000033111	bd micro-fine + hypodermic u100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge
1717441000033117	bd micro-fine + hypodermic u100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge
1735041000033111	hollister guardian closed mini pouch with filter opaque 25mm, 4522
1735141000033110	hollister guardian closed pouch clear 25mm, 4502
1735241000033115	hollister guardian closed pouch clear 38mm, 4503
1735341000033113	hollister guardian closed pouch clear 51mm, 4504
1735441000033119	hollister guardian closed pouch clear 64mm, 4505
1735541000033118	hollister guardian closed pouch opaque 25mm, 4512
1735641000033117	hollister guardian closed pouch opaque 51mm, 4514
1735741000033114	hollister guardian closed pouch opaque 64mm, 4515
1736841000033114	humalog 100units/ml solution for injection 3ml cartridges
1736941000033118	humalog mix25 100units/ml suspension for injection 3ml cartridges
1737041000033117	humalog mix25 pen 100units/ml suspension for injection 3ml pre-filled pen
1739941000033110	insulin lispro 100units/ml solution for injection 3ml cartridges
1749441000033116	pork actrapid 100units/ml solution for injection 10ml vials
1818141000033110	human mixtard 10 penfill 100units/ml suspension for injection 1.5ml cartridges
1818241000033115	human mixtard 20 penfill 100units/ml suspension for injection 1.5ml cartridges
1818341000033113	human mixtard 30 penfill 100units/ml suspension for injection 1.5ml cartridges
1818441000033119	human mixtard 40 penfill 100units/ml suspension for injection 1.5ml cartridges
1818541000033118	human mixtard 50 penfill 100units/ml suspension for injection 1.5ml cartridges
1821441000033116	insulin isophane porcine 100units/ml suspension for injection 10ml vials
1821541000033115	insulin isophane porcine 100units/ml suspension for injection 3ml cartridges
1821641000033119	insulin isophane bovine 100units/ml suspension for injection 10ml vials
1821741000033111	insulin isophane bovine 100units/ml suspension for injection 3ml cartridges
1821841000033118	bd micro-fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
1822441000033112	hollister guardian closed pouch opaque 38mm, 4513
1844541000033119	bd micro-fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
1861941000033119	insulin aspart 100units/ml solution for injection 10ml vials
1862041000033113	insulin aspart 100units/ml solution for injection 3ml cartridges
1862141000033112	insulin aspart prefilled syringes 100 units/ml
1862241000033117	novorapid 100units/ml solution for injection 10ml vials
1862341000033110	novorapid penfill 100units/ml solution for injection 3ml cartridges
1862441000033116	novorapid novolet 100units/ml solution for injection
1906641000033110	disposable insulin syringe with needle 0.3 ml
1923241000033113	novofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
1923341000033115	novofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge
1923441000033114	novofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge
1923541000033110	novofine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
2011641000033110	unifine pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
2011741000033118	unifine pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
2016741000033113	autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units
2016841000033115	autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units
2016941000033111	autopen classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2017041000033112	novopen 3 classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2017141000033111	novopen 3 fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2017241000033116	novopen 3 fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2018841000033116	hypurin porcine 30/70 mix 100units/ml suspension for injection 10ml vials
2018941000033112	hypurin porcine 30/70 mix 100units/ml suspension for injection 1.5ml cartridges
2034441000033116	insuman rapid 100units/ml solution for injection 5ml vials
2034641000033119	insuman rapid 100units/ml solution for injection 3ml cartridges
2035241000033118	insuman basal 100units/ml suspension for injection 5ml vials
2035441000033117	insuman basal 100units/ml suspension for injection 3ml cartridges
2035541000033116	insuman comb 25 100units/ml suspension for injection 5ml vials
2035641000033115	insuman comb 25 100units/ml suspension for injection 3ml cartridges
2052341000033117	optipen pro 1 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
2088441000033116	novopen 3 demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
209341000033112	calabren tablets 2.5 mg
2140541000033116	hypoguard supreme spectrum testing strips
2147541000033115	rosiglitazone 4mg tablets
2147641000033119	rosiglitazone 8mg tablets
2147741000033111	avandia 4mg tablets
2147841000033118	avandia 8mg tablets
2158441000033118	insuman comb 15 100units/ml suspension for injection 5ml vials
2158541000033117	insuman comb 15 100units/ml suspension for injection 3ml cartridges
2158641000033116	insuman comb 50 100units/ml suspension for injection 5ml vials
2158741000033113	insuman comb 50 100units/ml suspension for injection 3ml cartridges
2182141000033117	humalog mix50 pen 100units/ml suspension for injection 3ml pre-filled pen
2182241000033112	insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices
2182341000033119	humalog pen 100units/ml solution for injection 3ml pre-filled pen
2182441000033113	humulin i pen 100units/ml suspension for injection 3ml pre-filled pen
218441000033114	calabren tablets 5 mg
2190741000033115	pioglitazone 15mg tablets
2190841000033113	pioglitazone 30mg tablets
2190941000033117	actos 15mg tablets
2191041000033110	actos 30mg tablets
2194041000033112	autopen classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2266841000033110	insuman basal 100units/ml suspension for injection 3ml pre-filled optiset pen
2266941000033119	insuman rapid 100units/ml solution for injection 3ml pre-filled optiset pen
2267041000033118	insuman comb 15 100units/ml suspension for injection 3ml pre-filled optiset pen
2267141000033119	insuman comb 25 100units/ml suspension for injection 3ml pre-filled optiset pen
2267241000033114	insuman comb 50 100units/ml suspension for injection 3ml pre-filled optiset pen
2284041000033113	innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units
2284141000033112	innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units
2288241000033112	nateglinide 60mg tablets
2288341000033119	nateglinide 120mg tablets
2288441000033113	nateglinide 180mg tablets
2288541000033114	starlix 60mg tablets
2288641000033110	starlix 120mg tablets
2288741000033118	starlix 180mg tablets
2289441000033115	gliclazide 30mg modified-release tablets
2289941000033113	diamicron 30mg mr tablets
2297941000033115	hypoguard supreme plus meter
2298041000033117	hypoguard supreme extra meter
2423641000033110	*insulin tablets
2423741000033118	*insulin granules
2423841000033111	*insulin liquid
2423941000033115	*insulin powder
2424041000033118	*insulin pills (sucrose)
249441000033114	chlorpropamide 100mg tablets
249541000033110	chlorpropamide 250mg tablets
2527841000033114	penfine needles for insulin pens 31g, 6 mm
2527941000033118	penfine needles for insulin pens 31g, 8 mm
2528041000033115	penfine needles for insulin pens 29g, 10 mm
2528141000033116	penfine needles for insulin pens 29g, 12 mm
2620241000033119	metformin 500mg/5ml oral suspension
2625441000033112	novopen junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
2625541000033113	novopen junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
2644641000033113	insulatard innolet 100units/ml suspension for injection 3ml pre-filled pen
2644741000033116	mixtard 30 innolet 100units/ml suspension for injection 3ml pre-filled pen
2655041000033116	autopen junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2655141000033117	autopen junior hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
266641000033113	clinipak disposable insulin syringe with needle 0.5 ml, 30g
266741000033116	clinipak disposable insulin syringe with needle 1 ml, 30g
2719341000033116	unifine pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
2724741000033111	novomix 30 penfill 100units/ml suspension for injection 3ml cartridges
2724841000033118	novomix 30 flexpen 100units/ml suspension for injection 3ml pre-filled pen
2727441000033112	hypoguard supreme lancets 0.36mm/28gauge
2742941000033119	autopen special edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2743041000033112	autopen special edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2757141000033115	respond plus ostoguard barrier cream 60 g, rmc1
2780741000033111	lantus 100units/ml solution for injection 10ml vials
2780841000033118	lantus 100units/ml solution for injection 3ml cartridges
2780941000033114	lantus 100units/ml solution for injection 3ml pre-filled optiset pen
2796641000033115	novorapid flexpen 100units/ml solution for injection 3ml pre-filled pen
2796741000033112	insulatard flexpen 100units/ml suspension for injection
2798841000033115	insulin glargine 100units/ml solution for injection 10ml vials
2798941000033111	insulin glargine 100units/ml solution for injection 3ml cartridges
2799041000033119	insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices
2852041000033115	guard barrier cream
2852141000033116	guard barrier cream 2g sachets
2874541000033119	humapen ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
2874641000033118	humapen ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
