medcodeid	term	snomedctconceptid
311461000000116	Insertion of drug-eluting coronary artery stent	203741000000101
865191000006114	Insertn coronary artery stent	175029007
987711000006115	Int.mammary coronary A by-pass	175045009
299796018	Ischaemic cardiomyopathy	194849004
338974012	Ischaemic chest pain	225566008
299835014	Ischaemic heart disease NOS	414545008
299711010	Lateral myocardial infarction NOS	58612006
411159010	LIMA single anastomosis	275215001
324808010	Mechanical complication of coronary bypass	213037002
219531000000117	MI - acute myocardial infarction	57054005
2619484018	MI - Myocardial infarction aborted	194821006
1229885017	Microinfarction of heart	42531007
411503014	Mural cardiac aneurysm	275511009
1235655012	Mural thrombosis	91335003
884151000006119	Myocardial Infarction	57054005
682481000006118	Myocardial infarction aborted	194821006
350350014	New onset angina	233821000
59952018	Nocturnal angina	35928006
4031011	Old myocardial infarction	1755008
1221061012	Open angioplasty of coronary artery	14201006
1547681000006116	OS perc translumina balloon angioplast stenting coronary art	429639007
39111000006114	Other acute and subacute ischaemic heart disease	414545008
299723016	Other acute and subacute ischaemic heart disease	414545008
299750014	Other acute and subacute ischaemic heart disease NOS	414545008
299718016	Other acute myocardial infarction	57054005
299720018	Other acute myocardial infarction NOS	57054005
1221554018	Other autograft bypass of coronary artery	232717009
271080018	Other autograft replacement of coronary artery	232717009
271086012	Other autograft replacement of coronary artery NOS	232717009
36861000006113	Other autograft replacement of coronary artery OS	232717009
271169016	Other bypass of coronary artery	232717009
271171016	Other bypass of coronary artery NOS	232717009
395755010	Other cardiac wall aneurysm	65340007
299776014	Other chronic ischaemic heart disease	413838009
299805019	Other chronic ischaemic heart disease NOS	413838009
299871010	Other forms of heart disease	56265001
300238013	Other heart disease NOS	56265001
395775018	Other ill-defined heart disease	56265001
300237015	Other ill-defined heart disease NOS	56265001
271165010	Other replacement of coronary artery	232717009
271095016	Other specified allograft replacement of coronary artery	175021005
299707016	Other specified anterior myocardial infarction	54329005
299800012	Other specified chronic ischaemic heart disease	413838009
299804015	Other specified chronic ischaemic heart disease NOS	413838009
300197013	Other specified heart disease	56265001
299834013	Other specified ischaemic heart disease	414545008
271170015	Other specified other bypass of coronary artery	232717009
271103017	Other specified prosthetic replacement of coronary artery	175029007
271167019	Other specified replacement of coronary artery	232717009
271112015	Other specified revision of bypass for coronary artery	175036008
1484943013	Pain to thrombolysis time	448906006
1547651000006112	Perc tran ball angio ins 3 or more drug elut stents cor art	936451000000108
1547641000006110	Perc translum ball angio insert 1-2 drug elut stents cor art	936451000000108
1547661000006114	Perc translum balloon angioplasty insert 1-2 stents cor art	429639007
1547691000006118	Perc translum balloon angioplasty stenting coronary art NOS	429639007
1547631000006117	Perc translumin balloon angioplasty stenting coronary artery	429639007
865301000006116	Percut angiopl coronary artery	68466008
238561000006119	Percut translum balloon angioplasty bypass graft coronary a	175066001
238571000006114	Percut translum balloon angioplasty mult coronary arteries	85053006
238581000006112	Percut translum coronary thrombolytic therapy- streptokinase	175071008
1547311000006116	Percut translum cutting balloon angioplasty coronary artery	707828002
238641000006117	Percut transluminal balloon angioplasty one coronary artery	68466008
238651000006115	Percut transluminal coronary thrombolysis with streptokinase	175071008
238821000006111	Percutaneous balloon coronary angioplasty	11101003
1547671000006119	Percutaneous cor balloon angiop 3 more stents cor art NEC	429639007
2535176014	Percutaneous coronary intervention	415070008
272107018	Percutaneous transluminal angioplasty of artery NEC	276861004
456363010	Percutaneous transluminal angioplasty of vascular graft	312611005
1548361000006119	Percutaneous transluminal atherectomy	415071007
354901000000117	Percutaneous transluminal atherectomy of coronary artery	232726007
2675882017	Percutaneous transluminal balloon angioplasty of artery	426674009
484402013	Percutaneous transluminal laser coronary angioplasty	29843007
272295013	Peroperative angioplasty	175882004
230021000006115	Personal history of myocardial infarction	399211009
458410010	Post infarct angina	314116003
216351000006118	Post infarction pericarditis	233885007
299710011	Posterior myocardial infarction NOS	233838001
109915012	Postmyocardial infarction syndrome	66189004
208365015	Postoperative myocardial infarction	129574000
455423016	Postoperative myocardial infarction, unspecified	129574000
455422014	Postoperative subendocardial myocardial infarction	311796008
212061000006119	Postoperative transmural myocardial infarction anterior wall	311792005
212071000006114	Postoperative transmural myocardial infarction inferior wall	311793000
212081000006112	Postoperative transmural myocardial infarction other sites	129574000
212091000006110	Postoperative transmural myocardial infarction unspec site	129574000
7844010	Preinfarction syndrome	4557003
299741012	Preinfarction syndrome NOS	4557003
1235225010	Prinzmetal's angina	87343002
271097012	Prosthetic bypass of coronary artery	175029007
456362017	Prosthetic graft patch angioplasty	312610006
271098019	Prosthetic replacement of coronary artery	175029007
271104011	Prosthetic replacement of coronary artery NOS	175029007
271102010	Prosthetic replacement of four or more coronary arteries	736962007
271099010	Prosthetic replacement of one coronary artery	736963002
271101015	Prosthetic replacement of three coronary arteries	736964008
271100019	Prosthetic replacement of two coronary arteries	736965009
2210191000000118	Referral to Angina Plan self-management programme	853561000000109
2210251000000115	Referral to Angina Plan self-management programme declined	853591000000103
449302011	Referral to cardiac rehabilitation nurse	306322009
1734241000000113	Referral to cardiac rehabilitation programme	704050007
1736191000000116	Referral to cardiac rehabilitation service by secondary care	818891000000101
459487012	Refractory angina	315025001
271166011	Replacement of coronary arteries using multiple methods	175085003
271168012	Replacement of coronary artery NOS	232717009
271105012	Revision of bypass for coronary artery	175036008
271113013	Revision of bypass for coronary artery NOS	175036008
271109018	Revision of bypass for four or more coronary arteries	175040004
271106013	Revision of bypass for one coronary artery	175037004
271108014	Revision of bypass for three coronary arteries	175039001
271107016	Revision of bypass for two coronary arteries	175038009
411160017	RIMA single anastomosis	275216000
272117011	Rotary blade angioplasty	175764006
1785743019	Rotary blade coronary angioplasty	397193006
158601000006116	Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI	194865003
158611000006118	Ruptur chordae tendinae/curr comp fol acute myocard infarct	194866002
159001000006119	Rupture papillary muscle/curr comp fol acute myocard infarct	194867006
161451000006116	Saphenous vein graft bypass of coronary artery	3546002
271079016	Saphenous vein graft replacement coronary artery NOS	3546002
1228282017	Saphenous vein graft replacement of coronary artery	3546002
161481000006112	Saphenous vein graft replacement of coronary artery OS	3546002
161491000006110	Saphenous vein graft replacement of four+ coronary arteries	736966005
271073015	Saphenous vein graft replacement of one coronary artery	736967001
271075010	Saphenous vein graft replacement of three coronary arteries	736968006
271074014	Saphenous vein graft replacement of two coronary arteries	736969003
350376014	Silent myocardial infarction	233843008
350354017	Silent myocardial ischaemia	233823002
405092018	Single anastomosis of mammary artery to coronary artery NEC	232719007
271132019	Single anastomosis of thoracic artery to coronary artery NEC	232719007
299782012	Single coronary vessel disease	194842008
271126012	Single implantation of mammary artery into coronary artery	175050003
142431000006114	Single implantation thoracic artery into coronary artery NEC	232719007
350348018	Stable angina	233819005
32122016	Status anginosus	19057007
299758019	Stenocardia	194828000
494438016	Subendocardial ischaemia	46109009
299808017	Subsequent myocardial infarction	194856005
299811016	Subsequent myocardial infarction of anterior wall	194857001
299812011	Subsequent myocardial infarction of inferior wall	194858006
299813018	Subsequent myocardial infarction of other sites	194856005
118831000006118	Subsequent myocardial infarction of unspecified site	194856005
36036010	Syncope anginosa	21470009
1786198013	Thrombosis - coronary	398274000
100681000006116	Thrombosis atrium,auric append&vent/curr comp foll acute MI	194868001
459488019	Transient myocardial ischaemia	315026000
89711000006118	Transluminal balloon angioplasty of coronary artery	11101003
271148018	Transluminal balloon angioplasty of coronary artery NOS	11101003
89731000006112	Transluminal balloon angioplasty of coronary artery OS	11101003
350346019	Triple vessel disease of the heart	233817007
299712015	True posterior myocardial infarction	194802003
7845011	Unstable angina	4557003
72571000006115	Unstable angina	4557003
144819018	Variant angina pectoris	87343002
67081000006119	Ventric septal defect/curr comp fol acut myocardal infarctn	233846000
1235573016	Ventricular cardiac aneurysm	90539001
494261017	Worsening angina	4557003
