medcodeid	term	snomedctconceptid
349666017	Other bypass of femoral or popliteal artery by anastomosis	405516005
394323019	Other bypass of iliac artery	405477007
349677011	Other bypass of iliac artery by anastomosis	405477007
271868010	Other bypass of iliac artery NOS	116360008
349662015	Other bypass of popliteal artery	233384002
349661010	Other bypass of superficial femoral artery	405463009
32181000006113	Other emerg bypass femoral or popliteal art by anastomosis	116360008
349671012	Other emergency bypass of common femoral artery	116360008
349670013	Other emergency bypass of deep femoral artery	116360008
349667014	Other emergency bypass of femoral artery	405463009
394338018	Other emergency bypass of femoral artery or popliteal artery	405516005
31351000006112	Other emergency bypass of femoral or popliteal artery NOS	116360008
31361000006114	Other emergency bypass of femoral or popliteal artery OS	405516005
349668016	Other emergency bypass of superficial femoral artery	116360008
395791015	Other peripheral vascular disease	400047006
17311000006112	Other replacement aneurysmal femoral artery by anastomosis	405463009
410970013	Other replacement of aneurysmal common femoral artery	405463009
410972017	Other replacement of aneurysmal deep femoral artery	405463009
394337011	Other replacement of aneurysmal femoral artery	405463009
410969012	Other replacement of aneurysmal superficial femoral artery	405463009
278483019	Other specified amputation of foot	180030006
278463015	Other specified amputation of leg	397117006
271867017	Other specified other bypass of iliac artery	116360008
300510018	Other specified peripheral vascular disease	400047006
300514010	Other specified peripheral vascular disease NOS	400047006
271842015	Other specified replacement of aneurysmal iliac artery	116360008
272052017	Percutaneous transluminal angioplasty of femoral artery	175715003
271900018	Percutaneous transluminal angioplasty of iliac artery	175612005
239491000006117	Percutaneous transluminal angioplasty of popliteal artery	175716002
1548451000006111	Percutaneous transluminal placement peripheral stent artery	237451000000109
300511019	Peripheral angiopathic disease EC NOS	400047006
1847121000006114	Peripheral arterial disease	399957001
2465211000000113	Peripheral arterial disease screening	968121000000103
300550015	Peripheral arterial embolism and thrombosis NOS	195318006
350533013	Peripheral ischaemia	233958001
350535018	Peripheral ischaemic vascular disease	233958001
216185010	Peripheral vascular disease monitoring	134379001
741131000000114	Peripheral vascular disease monitoring first letter	376621000000109
741071000000112	Peripheral vascular disease monitoring invitation	376591000000106
2231891000000112	Peripheral vascular disease monitoring second letter	863151000000105
2231911000000110	Peripheral vascular disease monitoring third letter	863161000000108
300515011	Peripheral vascular disease NOS	400047006
235911000006116	Peripheral vascular disease NOS	400047006
226241000006117	Pirogoff amputation of foot through ankle	397218006
216701000006116	Post radiological embolism of lower limb artery	312380005
192101000006118	Ray transmetatarsal amputation	265739006
1230211012	Renal artery atherosclerosis	45281005
443820016	Renal artery stenosis	302233006
173541000006112	Replace aneurysm fem artery by fem/fem art anastomosis NEC	44662004
173551000006114	Replace aneurysm iliac art by aorta/ext iliac art anast NEC	116360008
173561000006111	Replace aneurysm iliac artery by iliac/iliac art anast NEC	116360008
173571000006116	Replace aneurysm leg artery by aorta/com fem art anast NEC	116360008
173581000006118	Replace aneurysm leg artery by aorta/sup fem art anast NEC	116360008
173641000006113	Replace aneurysm popliteal artery by pop/fem anastomosis NEC	112828007
271843013	Replacement of aneurysmal iliac artery NOS	116360008
132291000006113	Sorrondo hindquarter amputation	265735000
125921000006113	Steelquist hindquarter amputation	265735000
220751000000118	Syme amputation of foot through ankle	275095009
107381000006112	Tarsometatarsal amputation	265738003
107671000006115	Taylor hindquarter amputation	265735000
897301000006114	Traumatic amputation - foot	95859009
325275014	Traumatic amputation of both feet	213378007
158784014	Traumatic amputation of foot	95859009
321789011	Traumatic amputation of foot NOS	95859009
92371000006118	Traumatic amputation, foot	95859009
92951000006110	Traumatic bilateral amputation of foot without complication	95859009
86471000006111	Traumatic unilateral amputation of foot without complication	86914005
1715241000006112	Vascular claudication	63491006
